level,item_id,item_name,strategy,selected_model,selected_condition_id,selection_n,selection_frequency,model_entropy,condition_entropy,joint_entropy
route,1,兴趣或愉悦感降低,CrossAI,GLM-5.2,3,18,0.36,,,
route,1,兴趣或愉悦感降低,CrossAI,GLM-5.2,4,10,0.2,,,
route,1,兴趣或愉悦感降低,CrossAI,GLM-5.2,11,22,0.44,,,
route,1,兴趣或愉悦感降低,WithinAI_DeepSeek,DeepSeek-V4-Pro,11,18,0.36,,,
route,1,兴趣或愉悦感降低,WithinAI_DeepSeek,DeepSeek-V4-Pro,15,32,0.64,,,
route,1,兴趣或愉悦感降低,WithinAI_GLM,GLM-5.2,3,18,0.36,,,
route,1,兴趣或愉悦感降低,WithinAI_GLM,GLM-5.2,4,10,0.2,,,
route,1,兴趣或愉悦感降低,WithinAI_GLM,GLM-5.2,11,22,0.44,,,
route,1,兴趣或愉悦感降低,WithinAI_Qwen,Qwen3.7-Max,4,3,0.06,,,
route,1,兴趣或愉悦感降低,WithinAI_Qwen,Qwen3.7-Max,7,18,0.36,,,
route,1,兴趣或愉悦感降低,WithinAI_Qwen,Qwen3.7-Max,8,5,0.1,,,
route,1,兴趣或愉悦感降低,WithinAI_Qwen,Qwen3.7-Max,12,24,0.48,,,
route,2,情绪低落、抑郁或无望,CrossAI,DeepSeek-V4-Pro,11,1,0.02,,,
route,2,情绪低落、抑郁或无望,CrossAI,DeepSeek-V4-Pro,12,1,0.02,,,
route,2,情绪低落、抑郁或无望,CrossAI,GLM-5.2,3,2,0.04,,,
route,2,情绪低落、抑郁或无望,CrossAI,GLM-5.2,11,12,0.24,,,
route,2,情绪低落、抑郁或无望,CrossAI,Qwen3.7-Max,4,11,0.22,,,
route,2,情绪低落、抑郁或无望,CrossAI,Qwen3.7-Max,11,22,0.44,,,
route,2,情绪低落、抑郁或无望,CrossAI,Qwen3.7-Max,12,1,0.02,,,
route,2,情绪低落、抑郁或无望,WithinAI_DeepSeek,DeepSeek-V4-Pro,3,1,0.02,,,
route,2,情绪低落、抑郁或无望,WithinAI_DeepSeek,DeepSeek-V4-Pro,11,33,0.66,,,
route,2,情绪低落、抑郁或无望,WithinAI_DeepSeek,DeepSeek-V4-Pro,12,16,0.32,,,
