level,item_id,item_name,strategy,selected_model,selected_condition_id,selection_n,selection_frequency,model_entropy,condition_entropy,joint_entropy
route,1,抑郁情绪,CrossAI,GLM-5.2,7,29,0.58,,,
route,1,抑郁情绪,CrossAI,GLM-5.2,11,3,0.06,,,
route,1,抑郁情绪,CrossAI,GLM-5.2,15,3,0.06,,,
route,1,抑郁情绪,CrossAI,Kimi-K2.6,3,14,0.28,,,
route,1,抑郁情绪,CrossAI,Qwen3.7-Max,7,1,0.02,,,
route,1,抑郁情绪,WithinAI_GLM,GLM-5.2,7,42,0.84,,,
route,1,抑郁情绪,WithinAI_GLM,GLM-5.2,11,4,0.08,,,
route,1,抑郁情绪,WithinAI_GLM,GLM-5.2,15,4,0.08,,,
route,1,抑郁情绪,WithinAI_Kimi,Kimi-K2.6,3,47,0.94,,,
route,1,抑郁情绪,WithinAI_Kimi,Kimi-K2.6,11,2,0.04,,,
route,1,抑郁情绪,WithinAI_Kimi,Kimi-K2.6,15,1,0.02,,,
route,1,抑郁情绪,WithinAI_Qwen,Qwen3.7-Max,3,17,0.34,,,
route,1,抑郁情绪,WithinAI_Qwen,Qwen3.7-Max,4,1,0.02,,,
route,1,抑郁情绪,WithinAI_Qwen,Qwen3.7-Max,7,4,0.08,,,
route,1,抑郁情绪,WithinAI_Qwen,Qwen3.7-Max,8,20,0.4,,,
route,1,抑郁情绪,WithinAI_Qwen,Qwen3.7-Max,11,1,0.02,,,
route,1,抑郁情绪,WithinAI_Qwen,Qwen3.7-Max,12,5,0.1,,,
route,1,抑郁情绪,WithinAI_Qwen,Qwen3.7-Max,15,2,0.04,,,
route,2,有罪感,CrossAI,GLM-5.2,8,22,0.44,,,
route,2,有罪感,CrossAI,Qwen3.7-Max,3,7,0.14,,,
route,2,有罪感,CrossAI,Qwen3.7-Max,4,3,0.06,,,
route,2,有罪感,CrossAI,Qwen3.7-Max,15,17,0.34,,,
route,2,有罪感,CrossAI,Qwen3.7-Max,16,1,0.02,,,
route,2,有罪感,WithinAI_GLM,GLM-5.2,7,1,0.02,,,
route,2,有罪感,WithinAI_GLM,GLM-5.2,8,49,0.98,,,
route,2,有罪感,WithinAI_Kimi,Kimi-K2.6,3,4,0.08,,,
route,2,有罪感,WithinAI_Kimi,Kimi-K2.6,4,3,0.06,,,
route,2,有罪感,WithinAI_Kimi,Kimi-K2.6,7,2,0.04,,,
route,2,有罪感,WithinAI_Kimi,Kimi-K2.6,12,37,0.74,,,
route,2,有罪感,WithinAI_Kimi,Kimi-K2.6,15,4,0.08,,,
route,2,有罪感,WithinAI_Qwen,Qwen3.7-Max,3,13,0.26,,,
route,2,有罪感,WithinAI_Qwen,Qwen3.7-Max,4,9,0.18,,,
route,2,有罪感,WithinAI_Qwen,Qwen3.7-Max,8,1,0.02,,,
route,2,有罪感,WithinAI_Qwen,Qwen3.7-Max,15,24,0.48,,,
route,2,有罪感,WithinAI_Qwen,Qwen3.7-Max,16,3,0.06,,,
route,3,自杀,CrossAI,GLM-5.2,3,1,0.02,,,
route,3,自杀,CrossAI,GLM-5.2,15,30,0.6,,,
route,3,自杀,CrossAI,GLM-5.2,16,16,0.32,,,
route,3,自杀,CrossAI,Kimi-K2.6,12,3,0.06,,,
route,3,自杀,WithinAI_GLM,GLM-5.2,3,1,0.02,,,
route,3,自杀,WithinAI_GLM,GLM-5.2,15,32,0.64,,,
route,3,自杀,WithinAI_GLM,GLM-5.2,16,17,0.34,,,
route,3,自杀,WithinAI_Kimi,Kimi-K2.6,3,16,0.32,,,
route,3,自杀,WithinAI_Kimi,Kimi-K2.6,11,15,0.3,,,
route,3,自杀,WithinAI_Kimi,Kimi-K2.6,12,19,0.38,,,
route,3,自杀,WithinAI_Qwen,Qwen3.7-Max,3,8,0.16,,,
route,3,自杀,WithinAI_Qwen,Qwen3.7-Max,4,2,0.04,,,
route,3,自杀,WithinAI_Qwen,Qwen3.7-Max,11,2,0.04,,,
route,3,自杀,WithinAI_Qwen,Qwen3.7-Max,15,7,0.14,,,
route,3,自杀,WithinAI_Qwen,Qwen3.7-Max,16,31,0.62,,,
route,4,入睡困难,CrossAI,GLM-5.2,11,24,0.48,,,
route,4,入睡困难,CrossAI,Kimi-K2.6,3,7,0.14,,,
route,4,入睡困难,CrossAI,Kimi-K2.6,12,1,0.02,,,
route,4,入睡困难,CrossAI,Qwen3.7-Max,3,7,0.14,,,
route,4,入睡困难,CrossAI,Qwen3.7-Max,15,10,0.2,,,
route,4,入睡困难,CrossAI,Qwen3.7-Max,16,1,0.02,,,
route,4,入睡困难,WithinAI_GLM,GLM-5.2,11,49,0.98,,,
route,4,入睡困难,WithinAI_GLM,GLM-5.2,15,1,0.02,,,
route,4,入睡困难,WithinAI_Kimi,Kimi-K2.6,3,34,0.68,,,
route,4,入睡困难,WithinAI_Kimi,Kimi-K2.6,11,15,0.3,,,
route,4,入睡困难,WithinAI_Kimi,Kimi-K2.6,12,1,0.02,,,
route,4,入睡困难,WithinAI_Qwen,Qwen3.7-Max,3,30,0.6,,,
route,4,入睡困难,WithinAI_Qwen,Qwen3.7-Max,12,2,0.04,,,
route,4,入睡困难,WithinAI_Qwen,Qwen3.7-Max,15,17,0.34,,,
route,4,入睡困难,WithinAI_Qwen,Qwen3.7-Max,16,1,0.02,,,
route,5,睡眠不深,CrossAI,GLM-5.2,3,22,0.44,,,
route,5,睡眠不深,CrossAI,GLM-5.2,7,8,0.16,,,
route,5,睡眠不深,CrossAI,GLM-5.2,16,3,0.06,,,
route,5,睡眠不深,CrossAI,Qwen3.7-Max,3,14,0.28,,,
route,5,睡眠不深,CrossAI,Qwen3.7-Max,11,3,0.06,,,
route,5,睡眠不深,WithinAI_GLM,GLM-5.2,3,34,0.68,,,
route,5,睡眠不深,WithinAI_GLM,GLM-5.2,7,9,0.18,,,
route,5,睡眠不深,WithinAI_GLM,GLM-5.2,12,1,0.02,,,
route,5,睡眠不深,WithinAI_GLM,GLM-5.2,16,6,0.12,,,
route,5,睡眠不深,WithinAI_Kimi,Kimi-K2.6,4,1,0.02,,,
route,5,睡眠不深,WithinAI_Kimi,Kimi-K2.6,8,9,0.18,,,
route,5,睡眠不深,WithinAI_Kimi,Kimi-K2.6,11,11,0.22,,,
route,5,睡眠不深,WithinAI_Kimi,Kimi-K2.6,12,12,0.24,,,
route,5,睡眠不深,WithinAI_Kimi,Kimi-K2.6,16,17,0.34,,,
route,5,睡眠不深,WithinAI_Qwen,Qwen3.7-Max,3,31,0.62,,,
route,5,睡眠不深,WithinAI_Qwen,Qwen3.7-Max,7,2,0.04,,,
route,5,睡眠不深,WithinAI_Qwen,Qwen3.7-Max,11,17,0.34,,,
route,6,早醒,CrossAI,GLM-5.2,3,3,0.06,,,
route,6,早醒,CrossAI,GLM-5.2,7,3,0.06,,,
route,6,早醒,CrossAI,GLM-5.2,8,4,0.08,,,
route,6,早醒,CrossAI,GLM-5.2,12,1,0.02,,,
route,6,早醒,CrossAI,GLM-5.2,15,10,0.2,,,
route,6,早醒,CrossAI,Kimi-K2.6,8,1,0.02,,,
route,6,早醒,CrossAI,Kimi-K2.6,15,1,0.02,,,
route,6,早醒,CrossAI,Kimi-K2.6,16,5,0.1,,,
route,6,早醒,CrossAI,Qwen3.7-Max,3,17,0.34,,,
route,6,早醒,CrossAI,Qwen3.7-Max,7,1,0.02,,,
route,6,早醒,CrossAI,Qwen3.7-Max,11,4,0.08,,,
route,6,早醒,WithinAI_GLM,GLM-5.2,3,7,0.14,,,
route,6,早醒,WithinAI_GLM,GLM-5.2,7,6,0.12,,,
route,6,早醒,WithinAI_GLM,GLM-5.2,8,8,0.16,,,
route,6,早醒,WithinAI_GLM,GLM-5.2,12,3,0.06,,,
route,6,早醒,WithinAI_GLM,GLM-5.2,15,25,0.5,,,
route,6,早醒,WithinAI_GLM,GLM-5.2,16,1,0.02,,,
route,6,早醒,WithinAI_Kimi,Kimi-K2.6,8,2,0.04,,,
route,6,早醒,WithinAI_Kimi,Kimi-K2.6,11,8,0.16,,,
route,6,早醒,WithinAI_Kimi,Kimi-K2.6,12,1,0.02,,,
route,6,早醒,WithinAI_Kimi,Kimi-K2.6,15,12,0.24,,,
route,6,早醒,WithinAI_Kimi,Kimi-K2.6,16,27,0.54,,,
route,6,早醒,WithinAI_Qwen,Qwen3.7-Max,3,35,0.7,,,
route,6,早醒,WithinAI_Qwen,Qwen3.7-Max,7,1,0.02,,,
route,6,早醒,WithinAI_Qwen,Qwen3.7-Max,11,10,0.2,,,
route,6,早醒,WithinAI_Qwen,Qwen3.7-Max,12,2,0.04,,,
route,6,早醒,WithinAI_Qwen,Qwen3.7-Max,15,2,0.04,,,
route,7,工作和活动,CrossAI,GLM-5.2,11,19,0.38,,,
route,7,工作和活动,CrossAI,Kimi-K2.6,3,4,0.08,,,
route,7,工作和活动,CrossAI,Kimi-K2.6,4,14,0.28,,,
route,7,工作和活动,CrossAI,Kimi-K2.6,11,10,0.2,,,
route,7,工作和活动,CrossAI,Kimi-K2.6,15,1,0.02,,,
route,7,工作和活动,CrossAI,Qwen3.7-Max,3,2,0.04,,,
route,7,工作和活动,WithinAI_GLM,GLM-5.2,3,1,0.02,,,
route,7,工作和活动,WithinAI_GLM,GLM-5.2,4,1,0.02,,,
route,7,工作和活动,WithinAI_GLM,GLM-5.2,11,48,0.96,,,
route,7,工作和活动,WithinAI_Kimi,Kimi-K2.6,3,7,0.14,,,
route,7,工作和活动,WithinAI_Kimi,Kimi-K2.6,4,21,0.42,,,
route,7,工作和活动,WithinAI_Kimi,Kimi-K2.6,11,20,0.4,,,
route,7,工作和活动,WithinAI_Kimi,Kimi-K2.6,15,2,0.04,,,
route,7,工作和活动,WithinAI_Qwen,Qwen3.7-Max,3,40,0.8,,,
route,7,工作和活动,WithinAI_Qwen,Qwen3.7-Max,11,10,0.2,,,
route,8,迟滞,CrossAI,GLM-5.2,3,3,0.06,,,
route,8,迟滞,CrossAI,GLM-5.2,4,6,0.12,,,
route,8,迟滞,CrossAI,GLM-5.2,11,5,0.1,,,
route,8,迟滞,CrossAI,GLM-5.2,12,8,0.16,,,
route,8,迟滞,CrossAI,Kimi-K2.6,11,11,0.22,,,
route,8,迟滞,CrossAI,Kimi-K2.6,12,3,0.06,,,
route,8,迟滞,CrossAI,Qwen3.7-Max,3,11,0.22,,,
route,8,迟滞,CrossAI,Qwen3.7-Max,11,2,0.04,,,
route,8,迟滞,CrossAI,Qwen3.7-Max,12,1,0.02,,,
route,8,迟滞,WithinAI_GLM,GLM-5.2,4,29,0.58,,,
route,8,迟滞,WithinAI_GLM,GLM-5.2,11,14,0.28,,,
route,8,迟滞,WithinAI_GLM,GLM-5.2,12,7,0.14,,,
route,8,迟滞,WithinAI_Kimi,Kimi-K2.6,3,4,0.08,,,
route,8,迟滞,WithinAI_Kimi,Kimi-K2.6,4,3,0.06,,,
route,8,迟滞,WithinAI_Kimi,Kimi-K2.6,11,39,0.78,,,
route,8,迟滞,WithinAI_Kimi,Kimi-K2.6,12,4,0.08,,,
route,8,迟滞,WithinAI_Qwen,Qwen3.7-Max,3,34,0.68,,,
route,8,迟滞,WithinAI_Qwen,Qwen3.7-Max,11,7,0.14,,,
route,8,迟滞,WithinAI_Qwen,Qwen3.7-Max,12,9,0.18,,,
route,9,激越,CrossAI,GLM-5.2,12,5,0.1,,,
route,9,激越,CrossAI,Kimi-K2.6,3,1,0.02,,,
route,9,激越,CrossAI,Qwen3.7-Max,3,3,0.06,,,
route,9,激越,CrossAI,Qwen3.7-Max,11,35,0.7,,,
route,9,激越,CrossAI,Qwen3.7-Max,12,6,0.12,,,
route,9,激越,WithinAI_GLM,GLM-5.2,11,1,0.02,,,
route,9,激越,WithinAI_GLM,GLM-5.2,12,44,0.88,,,
route,9,激越,WithinAI_GLM,GLM-5.2,15,5,0.1,,,
route,9,激越,WithinAI_Kimi,Kimi-K2.6,3,34,0.68,,,
route,9,激越,WithinAI_Kimi,Kimi-K2.6,4,3,0.06,,,
route,9,激越,WithinAI_Kimi,Kimi-K2.6,11,5,0.1,,,
route,9,激越,WithinAI_Kimi,Kimi-K2.6,15,8,0.16,,,
route,9,激越,WithinAI_Qwen,Qwen3.7-Max,3,3,0.06,,,
route,9,激越,WithinAI_Qwen,Qwen3.7-Max,11,40,0.8,,,
route,9,激越,WithinAI_Qwen,Qwen3.7-Max,12,7,0.14,,,
route,10,精神性焦虑,CrossAI,GLM-5.2,12,1,0.02,,,
route,10,精神性焦虑,CrossAI,GLM-5.2,15,2,0.04,,,
route,10,精神性焦虑,CrossAI,GLM-5.2,16,47,0.94,,,
route,10,精神性焦虑,WithinAI_GLM,GLM-5.2,12,1,0.02,,,
route,10,精神性焦虑,WithinAI_GLM,GLM-5.2,15,2,0.04,,,
route,10,精神性焦虑,WithinAI_GLM,GLM-5.2,16,47,0.94,,,
route,10,精神性焦虑,WithinAI_Kimi,Kimi-K2.6,3,29,0.58,,,
route,10,精神性焦虑,WithinAI_Kimi,Kimi-K2.6,7,2,0.04,,,
route,10,精神性焦虑,WithinAI_Kimi,Kimi-K2.6,8,1,0.02,,,
route,10,精神性焦虑,WithinAI_Kimi,Kimi-K2.6,12,3,0.06,,,
route,10,精神性焦虑,WithinAI_Kimi,Kimi-K2.6,15,15,0.3,,,
route,10,精神性焦虑,WithinAI_Qwen,Qwen3.7-Max,7,1,0.02,,,
route,10,精神性焦虑,WithinAI_Qwen,Qwen3.7-Max,12,32,0.64,,,
route,10,精神性焦虑,WithinAI_Qwen,Qwen3.7-Max,15,15,0.3,,,
route,10,精神性焦虑,WithinAI_Qwen,Qwen3.7-Max,16,2,0.04,,,
route,11,躯体性焦虑,CrossAI,GLM-5.2,4,7,0.14,,,
route,11,躯体性焦虑,CrossAI,GLM-5.2,7,18,0.36,,,
route,11,躯体性焦虑,CrossAI,GLM-5.2,8,5,0.1,,,
route,11,躯体性焦虑,CrossAI,GLM-5.2,15,5,0.1,,,
route,11,躯体性焦虑,CrossAI,GLM-5.2,16,12,0.24,,,
route,11,躯体性焦虑,CrossAI,Kimi-K2.6,15,2,0.04,,,
route,11,躯体性焦虑,CrossAI,Kimi-K2.6,16,1,0.02,,,
route,11,躯体性焦虑,WithinAI_GLM,GLM-5.2,4,7,0.14,,,
route,11,躯体性焦虑,WithinAI_GLM,GLM-5.2,7,18,0.36,,,
route,11,躯体性焦虑,WithinAI_GLM,GLM-5.2,8,5,0.1,,,
route,11,躯体性焦虑,WithinAI_GLM,GLM-5.2,15,7,0.14,,,
route,11,躯体性焦虑,WithinAI_GLM,GLM-5.2,16,13,0.26,,,
route,11,躯体性焦虑,WithinAI_Kimi,Kimi-K2.6,8,1,0.02,,,
route,11,躯体性焦虑,WithinAI_Kimi,Kimi-K2.6,15,35,0.7,,,
route,11,躯体性焦虑,WithinAI_Kimi,Kimi-K2.6,16,14,0.28,,,
route,11,躯体性焦虑,WithinAI_Qwen,Qwen3.7-Max,11,2,0.04,,,
route,11,躯体性焦虑,WithinAI_Qwen,Qwen3.7-Max,12,1,0.02,,,
route,11,躯体性焦虑,WithinAI_Qwen,Qwen3.7-Max,15,33,0.66,,,
route,11,躯体性焦虑,WithinAI_Qwen,Qwen3.7-Max,16,14,0.28,,,
route,12,胃肠道症状,CrossAI,GLM-5.2,3,5,0.1,,,
route,12,胃肠道症状,CrossAI,GLM-5.2,4,1,0.02,,,
route,12,胃肠道症状,CrossAI,GLM-5.2,12,1,0.02,,,
route,12,胃肠道症状,CrossAI,Kimi-K2.6,3,8,0.16,,,
route,12,胃肠道症状,CrossAI,Kimi-K2.6,15,5,0.1,,,
route,12,胃肠道症状,CrossAI,Qwen3.7-Max,3,26,0.52,,,
route,12,胃肠道症状,CrossAI,Qwen3.7-Max,4,2,0.04,,,
