condition,condition_name,pathway,cleaned,structured,text_scope,itemwise_scoring,direct_grade,thinking_mode,baseline_condition,intended_manipulation,intended_pair,source_file,source_condition_literal,prompt_source_note,notes
C01,01_全文_不规整_等级_不清洗,direct_grade,否,否,全文,否,是,由运行元数据决定；已观察：不思考; 思考,C01,基线,C01->C02; C01->C05; C01->C09,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""C"": ""C1"", ""D"": [""D2""], ""E"": ""E4"", ""attr"": ""不规整"", ""clean"": false, ""id"": 1, ""output"": ""等级"", ""text"": ""全量""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C02,02_全文_不规整_等级_清洗,direct_grade,是,否,全文,否,是,由运行元数据决定；已观察：不思考; 思考,C01,清洗,C01->C02,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""C"": ""C1"", ""D"": [""D2""], ""E"": ""E4"", ""attr"": ""不规整"", ""clean"": true, ""id"": 2, ""output"": ""等级"", ""text"": ""全量""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C03,03_全文_不规整_评分_不清洗,itemwise_score,否,否,全文,是,否,由运行元数据决定；已观察：不思考; 思考,C03,基线,C03->C04; C03->C07; C03->C11,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""B"": ""B1"", ""C"": ""C1"", ""D"": [""D1""], ""E"": ""E1"", ""attr"": ""不规整"", ""clean"": false, ""id"": 3, ""output"": ""评分"", ""text"": ""全量""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C04,04_全文_不规整_评分_清洗,itemwise_score,是,否,全文,是,否,由运行元数据决定；已观察：不思考; 思考,C03,清洗,C03->C04,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""B"": ""B1"", ""C"": ""C1"", ""D"": [""D1""], ""E"": ""E1"", ""attr"": ""不规整"", ""clean"": true, ""id"": 4, ""output"": ""评分"", ""text"": ""全量""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C05,05_全文_规整_等级_不清洗,direct_grade,否,是,全文,否,是,由运行元数据决定；已观察：不思考; 思考,C01,规整/规范化,C01->C05,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""C"": ""C4"", ""D"": [""D2""], ""E"": ""E4"", ""attr"": ""规整"", ""clean"": false, ""id"": 5, ""output"": ""等级"", ""text"": ""全量""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C06,06_全文_规整_等级_清洗,direct_grade,是,是,全文,否,是,由运行元数据决定；已观察：不思考; 思考,C01,规整/规范化 + 清洗,,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""C"": ""C4"", ""D"": [""D2""], ""E"": ""E4"", ""attr"": ""规整"", ""clean"": true, ""id"": 6, ""output"": ""等级"", ""text"": ""全量""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C07,07_全文_规整_评分_不清洗,itemwise_score,否,是,全文,是,否,由运行元数据决定；已观察：不思考; 思考,C03,规整/规范化,C03->C07,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""B"": ""B1"", ""C"": ""C4"", ""D"": [""D1""], ""E"": ""E1"", ""attr"": ""规整"", ""clean"": false, ""id"": 7, ""output"": ""评分"", ""text"": ""全量""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C08,08_全文_规整_评分_清洗,itemwise_score,是,是,全文,是,否,由运行元数据决定；已观察：不思考; 思考,C03,规整/规范化 + 清洗,,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""B"": ""B1"", ""C"": ""C4"", ""D"": [""D1""], ""E"": ""E1"", ""attr"": ""规整"", ""clean"": true, ""id"": 8, ""output"": ""评分"", ""text"": ""全量""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C09,09_事件序列_不规整_等级_不清洗,direct_grade,否,否,事件序列,否,是,由运行元数据决定；已观察：不思考; 思考,C01,事件序列输入范围,C01->C09,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""C"": ""C2"", ""D"": [""D2""], ""E"": ""E4"", ""attr"": ""不规整"", ""clean"": false, ""id"": 9, ""output"": ""等级"", ""text"": ""事件标记""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
C10,10_事件序列_不规整_等级_清洗,direct_grade,是,否,事件序列,否,是,由运行元数据决定；已观察：不思考; 思考,C01,事件序列输入范围 + 清洗,,E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\scripts\9eval_main.py,"{""C"": ""C2"", ""D"": [""D2""], ""E"": ""E4"", ""attr"": ""不规整"", ""clean"": true, ""id"": 10, ""output"": ""等级"", ""text"": ""事件标记""}",E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\hamd正式使用提示词.docx; E:\数据库\代码\Data\PDCH\实验\_新结构_待启用\PHQ全量189人_调用就绪\prompts\PHQ8_prompt_set_3_nonconditional_24_conditions_English.docx,条件字典来自9eval_main.py的CONDITIONS字面量；thinking不是C01-C16条件内的文本操纵。
