check,status,observed
source_and_fold_hashes_match,PASS,"{'PDCH/实验\\outputs\\pdch_all_prompt_fields_corrected_20260807\\04_评分维度明细.csv': '34ec669d677860b2b671d01f3f3d77a66d669ec693cd64cf42347eb1bdc2fa4d', 'PDCH/实验\\outputs\\pdch_phq189_cross_ai_heterogeneity_20260909\\PHQ_189_outer_folds.csv': '12c219dfe3b6d31983f4f0acf5304ed2dee788aa9ee29fea48dd0a1edc5354d4', 'PDCH/实验\\outputs\\pdch_hamd99_cross_ai_heterogeneity_20260909\\HAMD_99_outer_folds.csv': 'ca2feabcf6f175b8092596427f3645b2f95525ae3b6c29535e05266130bbeddf'}"
nominated_main_strategy_A,PASS,A
supplement_strategy_B,PASS,B
six_inference_rows,PASS,6
candidate_groups_have_eight_conditions,PASS,{8: 3600}
candidate_selection_matches_routes,PASS,candidate selected vs route
all_routes_recomputed_as_B_training_only,PASS,0
prediction_fold_membership_matches,PASS,0
B_prediction_conditions_match_routes,PASS,0
prediction_keys_unique,PASS,0
HAMD14_absent,PASS,True
recomputed_subject_repeat_metrics,PASS,1.1102230246251565e-16
headline_means_recomputed,PASS,4.440892098500626e-16
paired_t_recomputed,PASS,5.551115123125783e-17
subjects_have_ten_repeats,PASS,{10: 864}
supported_cells_are_PHQ_DeepSeek_and_Qwen,PASS,"[{'scale': 'PHQ-8', 'model': 'DeepSeek-V4-Pro'}, {'scale': 'PHQ-8', 'model': 'Qwen3.7-Max'}]"
full_maps_have_72_rows,PASS,72
