sheet,original_column,inferred_role,dtype,row_n,nonmissing_n,missing_rate,unique_n,example_value,notes
01_字段对照,字段用途,analysis_or_other,text,17,17,0.0,17,总览,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
01_字段对照,字段/结构,analysis_or_other,text,17,17,0.0,17,量表_scale；队列_cohort；模型_model；思考模式_thinking_mode；条件_condition；被试ID_subject_id,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
01_字段对照,来源与方法,analysis_or_other,text,17,17,0.0,17,来自结果索引和源JSON路径，按量表×队列×模型×思考模式×条件×被试定位,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
01_字段对照,怎么解释,analysis_or_other,text,17,17,0.0,17,用于筛选、复核和回溯单条结果,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
01_字段对照,缺失是否异常,analysis_or_other,text,17,17,0.0,17,这些主键字段缺失才是结构异常,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,量表_scale,design_metadata/key,text,65922,65922,0.0,2,PHQ-8,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,队列_cohort,design_metadata/key,text,65922,65922,0.0,3,DAIC-WOZ全量189人,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,模型_model,design_metadata/key,text,65922,65922,0.0,4,DeepSeek-V4-Pro,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,思考模式_thinking_mode,design_metadata/key,text,65922,65922,0.0,2,思考,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,条件编号_condition_id,design_metadata/key,text,65922,65922,0.0,24,1,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,条件_condition,design_metadata/key,text,65922,65922,0.0,24,C01,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,条件全名_condition_full_name,design_metadata/key,text,65922,65922,0.0,24,01_全文_不规整_等级_不清洗,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,输入范围_input_scope,design_metadata/key,text,65922,65922,0.0,3,全文,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,规整状态_standardization,design_metadata/key,text,65922,65922,0.0,2,不规整,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,清洗状态_cleaning,design_metadata/key,text,65922,65922,0.0,1,清洗,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,输出任务_output_task,analysis_or_other,text,65922,65922,0.0,2,等级,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,基线标记_baseline,design_metadata/key,text,65922,65922,0.0,3,C01原始全文等级基线,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,被试ID_subject_id,design_metadata/key,text,65922,65922,0.0,289,300,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,事件ID_event_id,design_metadata/key,text,65922,46626,0.29270957,57,01,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,记录层级_record_level,design_metadata/key,text,65922,65922,0.0,2,被试,实验设计、条件或主键元数据。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
02_统一结果索引,解析状态_parse_status,analysis_or_other,text,65922,65922,0.0,1,ok,未发现固定提示词结构标记；不能仅凭字段名把它当作提示词。 固定提示词正文不以字段名推断；本工作簿未观察到可直接复用的静态prompt字段。
