dataset,model,mode,baseline_condition,target_condition,pathway,intended_manipulation,baseline_template,target_template,changed_prompt_features,unchanged_prompt_features,unexpected_changes,single_factor_status,interpretation_allowed,exact_prompt_same,normalized_prompt_same,observed_prompt_version_baseline,observed_prompt_version_target,prompt_version_consistency,prompt_version_change_observed,notes
HAMD-17,GLM-5.2,不思考,C03,C04,评分路径,清洗,PROMPT_000006,PROMPT_000006,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,yes,yes,word-2026-06-25,word-2026-06-25,same_observed_version,no,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
HAMD-17,GLM-5.2,不思考,C03,C07,评分路径,规整/规范化,PROMPT_000006,PROMPT_000011,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,no,no,word-2026-06-25,word-2026-06-25,same_observed_version,no,仅出现未被特征编码捕捉的文字差异；需要人工复核。
HAMD-17,GLM-5.2,不思考,C03,C11,评分路径,事件序列输入范围,PROMPT_000006,PROMPT_000005,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,no,no,word-2026-06-25,word-2026-06-25,same_observed_version,no,仅出现未被特征编码捕捉的文字差异；需要人工复核。
HAMD-17,GLM-5.2,不思考,C01,C02,等级路径,清洗,PROMPT_000004,PROMPT_000004,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,yes,yes,word-2026-06-25,word-2026-06-25,same_observed_version,no,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
HAMD-17,GLM-5.2,不思考,C01,C05,等级路径,规整/规范化,PROMPT_000004,PROMPT_000018,temporal_constraint,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,no,no,word-2026-06-25,word-2026-06-25,same_observed_version,no,固定提示词中仅检测到一个理论特征改变；仍需人工抽查差分文本。
HAMD-17,GLM-5.2,不思考,C01,C09,等级路径,事件序列输入范围,PROMPT_000004,PROMPT_000028,temporal_constraint,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,no,no,word-2026-06-25,word-2026-06-25,same_observed_version,no,固定提示词中仅检测到一个理论特征改变；仍需人工抽查差分文本。
HAMD-17,GLM-5.2,思考,C03,C04,评分路径,清洗,PROMPT_000006,PROMPT_000006,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,yes,yes,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,same_observed_version,no,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
HAMD-17,GLM-5.2,思考,C03,C07,评分路径,规整/规范化,PROMPT_000006,PROMPT_000011,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,no,no,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,same_observed_version,no,仅出现未被特征编码捕捉的文字差异；需要人工复核。
HAMD-17,GLM-5.2,思考,C03,C11,评分路径,事件序列输入范围,PROMPT_000006,PROMPT_000005,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,no,no,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,same_observed_version,no,仅出现未被特征编码捕捉的文字差异；需要人工复核。
HAMD-17,GLM-5.2,思考,C01,C02,等级路径,清洗,PROMPT_000004,PROMPT_000004,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,yes,yes,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,same_observed_version,no,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
HAMD-17,GLM-5.2,思考,C01,C05,等级路径,规整/规范化,PROMPT_000004,PROMPT_000018,temporal_constraint,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,no,no,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,same_observed_version,no,固定提示词中仅检测到一个理论特征改变；仍需人工抽查差分文本。
