dataset,model,mode,condition,prompt_template_id,issue_type,feature_name,feature_value,feature_evidence_quote,auto_confidence,review_required,reviewer_code,reviewer_note,resolved
HAMD-17,GLM-5.2,不思考,C01,PROMPT_000003,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,不思考,C02,PROMPT_000003,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,不思考,C03,PROMPT_000005,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,不思考,C04,PROMPT_000005,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,不思考,C05,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,不思考,C06,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,不思考,C07,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,不思考,C08,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,不思考,C09,PROMPT_000022,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,不思考,C10,PROMPT_000022,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,不思考,C11,PROMPT_000004,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,不思考,C12,PROMPT_000004,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,不思考,C13,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,不思考,C14,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,不思考,C15,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,不思考,C16,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,思考,C01,PROMPT_000003,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,思考,C02,PROMPT_000003,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,思考,C03,PROMPT_000005,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,思考,C04,PROMPT_000005,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,思考,C05,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,思考,C06,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,思考,C07,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,思考,C08,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,思考,C09,PROMPT_000022,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,思考,C10,PROMPT_000022,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,思考,C11,PROMPT_000004,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,思考,C12,PROMPT_000004,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,思考,C13,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,思考,C14,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,思考,C15,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,GLM-5.2,思考,C16,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C01,PROMPT_000003,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C02,PROMPT_000003,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C03,PROMPT_000005,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C04,PROMPT_000005,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C05,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C06,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C07,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C08,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C09,PROMPT_000022,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C10,PROMPT_000022,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C11,PROMPT_000004,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C12,PROMPT_000004,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C13,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C14,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C15,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,不思考,C16,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,思考,C01,PROMPT_000003,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,思考,C02,PROMPT_000003,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,思考,C03,PROMPT_000005,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,思考,C04,PROMPT_000005,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,思考,C05,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,思考,C06,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,思考,C07,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,思考,C08,PROMPT_000009,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,思考,C09,PROMPT_000022,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,思考,C10,PROMPT_000022,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,思考,C11,PROMPT_000004,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,思考,C12,PROMPT_000004,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,思考,C13,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
HAMD-17,Kimi-K2.6,思考,C14,PROMPT_000015,feature_uncertain_or_low_confidence,inference_permission,moderate,,low,yes,,,
