stage,scope,status,claim_boundary,evidence_location
早期设计与24人试跑,"24 subjects; 6 models; C01-C24; direct grade, score, signal-detection, reliability, fusion and event exploration",completed historical/pilot,早期结果可用于研究演变和假设生成；不作为当前主结果,outputs/pdch_24_full_20260701; outputs/pdch_three_models_modes_20260725
HAMD99 / PHQ189统一结果层,99 HAMD labels; PHQ 189 with primary142/test47; normalized item and subject cubes; source and duplicate audits,completed audit-backed input layer,原始/限制数据不改写；test47不是全新独立验证,outputs/pdch_all_prompt_fields_corrected_20260807; outputs/pdch_freeze_20260822
教师口径与C01/C03基线,"condition effects, model/mode comparisons, grade versus item-score pathways",completed reference analyses,结果跨量表、队列、直接等级和逐条评分路径不能混合,outputs/pdch_phq_hamd_teacher_protocol_20260729; outputs/pdch_complete_analysis_20260803
多字段/深层规律,"evidence, reasoning, confidence, subject/item profiles, model complementarity, selectors, oracle and risk-coverage",exploratory complete with audit gates,结构系数和selector不是因果或临床效度；oracle不可部署,outputs/pdch_multifield_analysis_20260805; outputs/pdch_deep_patterns_20260803
校正题总相关,"Spearman corrected item-total association, point-biserial sensitivity, FDR and condition contrasts",formal primary/reference by module,关联不是准确率、临床效度或机制；适用条目条件有限,outputs/pdch_corrected_item_total_association_20260811; outputs/pdch_ai_handoff_20260819/00_index/analysis_registry.csv
总分—条目—结构解离,"item error cancellation, total MAE versus item NAE and corrected rho, PHQ test47 secondary replication",formal extension + secondary replication,total improvement may be cancellation; test47 previously touched,outputs/pdch_item_error_cancellation_20260815; outputs/pdch_phq_replication_validation_20260815
预测9与两阶段评分,"abstention, coverage-risk, triggered symptom detection and conditional severity",supplement complete; later staged run partial,"manual evidence audit, calibration and score9 regression remain incomplete",outputs/pdch_phase1_abstention_triggered_20260806
Stage-2 local calibration,"Ridge-to-total/items, ordinal, hurdle, conformal and robustness checks",internal CV / analyzed,old prompt outputs; no external validity; coefficients need stability interpretation,outputs/pdch_twostage_corrected_20260821; outputs/pdch_stage2_ordinal_hurdle_20260822; outputs/pdch_stage2_robustness_20260823
新提示词 staged extraction,HAMD 24 complete but remaining75 partial; PHQ189 partial,partial / not formal,failure and invalid-schema files remain; do not pool as complete model results,outputs/pdch_freeze_20260822
PLOS-inspired structure/convergent checks,"cross-item convergence, specificity, missingness and ridge coefficient stability",descriptive supplementary,item convergence is not agreement or complete psychometric validation,outputs/pdch_plos_structure_and_validity_20260824
冻结A/B/C三策略,"fold-specific OOF, total/item/cancellation, stability, cross-model agreement, PHQ test47",Stage-1 frozen and reproduced,no Level-3 deployable path; HAMD24 excluded,outputs/pdch_heterogeneous_condition_three_strategy_20260827; outputs/hamd_phq_multicondition_path_v1/01_reproduction_check.csv
Stage-2 fusion/evaluability,"Mean/Median/Ridge/ElasticNet, PHQ test47 application, H14 rescue, oracle, disagreement, selective curve, taxonomy and outer-fold performance stability",completed for available derived data,internal/secondary evidence; no clinical deployment claim,outputs/hamd_phq_multicondition_path_v1
