dataset,prompt_source_variant,condition,condition_name,pathway,cleaned,structured,text_scope,baseline_condition,intended_manipulation,intended_pair,prompt_template_id,normalized_sha256,static_character_count,static_line_count,estimated_token_count,input_code_key,input_type,input_path_expression,thinking_mode_control,evidence_requirement,evidence_quote_required,explicit_scoring_anchors,negation_handling,missing_information_rule,temporal_constraint,frequency_requirement,inference_permission,speaker_restriction,abstention_permission,output_rigidity,itemwise_reasoning_requirement,uncertainty_requirement
HAMD-17,HAMD_code,C01,01_全文_不规整_等级_不清洗,direct_grade,no,no,full_text,,multiple_factor_or_reference,,PROMPT_1A06DFC3233F,1a06dfc3233f8a72d9cd6f9416f52a09daca8f4eaf0beef9053de33e922c7d65,642,22,161,C1,global,lambda sid: RAW_DIR / f'{sid}_full_dialogue.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
HAMD-17,HAMD_docx,C01,01_全文_不规整_等级_不清洗,direct_grade,no,no,full_text,,multiple_factor_or_reference,,PROMPT_1A06DFC3233F,1a06dfc3233f8a72d9cd6f9416f52a09daca8f4eaf0beef9053de33e922c7d65,642,22,161,C1,global,lambda sid: RAW_DIR / f'{sid}_full_dialogue.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
HAMD-17,HAMD_code,C02,02_全文_不规整_等级_清洗,direct_grade,yes,no,full_text,C01,cleaning,C01→C02,PROMPT_1A06DFC3233F,1a06dfc3233f8a72d9cd6f9416f52a09daca8f4eaf0beef9053de33e922c7d65,642,22,161,C1_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_text' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
HAMD-17,HAMD_docx,C02,02_全文_不规整_等级_清洗,direct_grade,yes,no,full_text,C01,cleaning,C01→C02,PROMPT_1A06DFC3233F,1a06dfc3233f8a72d9cd6f9416f52a09daca8f4eaf0beef9053de33e922c7d65,642,22,161,C1_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_text' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
HAMD-17,HAMD_code,C03,03_全文_不规整_评分_不清洗,itemwise_score,no,no,full_text,,multiple_factor_or_reference,,PROMPT_2F50ED43849A,2f50ed43849a0dffa71e538f9f5729b61b075782bd9de5496a3a5abc5b56ddef,2400,41,600,C1,global,lambda sid: RAW_DIR / f'{sid}_full_dialogue.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,explicit,abstain_9,explicit_window,explicit,moderate,absent,required_when_insufficient,strict_json_schema,yes,confidence_required
HAMD-17,HAMD_docx,C03,03_全文_不规整_评分_不清洗,itemwise_score,no,no,full_text,,multiple_factor_or_reference,,PROMPT_2F50ED43849A,2f50ed43849a0dffa71e538f9f5729b61b075782bd9de5496a3a5abc5b56ddef,2400,41,600,C1,global,lambda sid: RAW_DIR / f'{sid}_full_dialogue.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,explicit,abstain_9,explicit_window,explicit,moderate,absent,required_when_insufficient,strict_json_schema,yes,confidence_required
HAMD-17,HAMD_code,C04,04_全文_不规整_评分_清洗,itemwise_score,yes,no,full_text,C03,cleaning,C03→C04,PROMPT_2F50ED43849A,2f50ed43849a0dffa71e538f9f5729b61b075782bd9de5496a3a5abc5b56ddef,2400,41,600,C1_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_text' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,explicit,abstain_9,explicit_window,explicit,moderate,absent,required_when_insufficient,strict_json_schema,yes,confidence_required
HAMD-17,HAMD_docx,C04,04_全文_不规整_评分_清洗,itemwise_score,yes,no,full_text,C03,cleaning,C03→C04,PROMPT_2F50ED43849A,2f50ed43849a0dffa71e538f9f5729b61b075782bd9de5496a3a5abc5b56ddef,2400,41,600,C1_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_text' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,explicit,abstain_9,explicit_window,explicit,moderate,absent,required_when_insufficient,strict_json_schema,yes,confidence_required
HAMD-17,HAMD_code,C05,05_全文_规整_等级_不清洗,direct_grade,no,yes,full_text,C01,standardization,C01→C05,PROMPT_901D51584105,901d51584105eec323c220b5f98a4b463af4d27cf135a08067bf48d60b4295c0,642,22,161,C4,global,lambda sid: BASE_DIR / 'narrative' / 'full_text' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
HAMD-17,HAMD_docx,C05,05_全文_规整_等级_不清洗,direct_grade,no,yes,full_text,C01,standardization,C01→C05,PROMPT_901D51584105,901d51584105eec323c220b5f98a4b463af4d27cf135a08067bf48d60b4295c0,642,22,161,C4,global,lambda sid: BASE_DIR / 'narrative' / 'full_text' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
HAMD-17,HAMD_code,C06,06_全文_规整_等级_清洗,direct_grade,yes,yes,full_text,,multiple_factor_or_reference,,PROMPT_901D51584105,901d51584105eec323c220b5f98a4b463af4d27cf135a08067bf48d60b4295c0,642,22,161,C4_clean,global,lambda sid: BASE_DIR / 'denoised' / 'full_text_narrative' / f'{sid}.txt',PDCH_ENABLE_THINKING; 9eval_main.py::_get_enable_thinking,required,yes,partial,absent,unspecified,generic,absent,moderate,absent,no,strict_json_schema,no,confidence_required
