section,subsection,claim_or_question,evidence_role,analysis_layer,source_path,freeze_path,allowed_interpretation,blocked_interpretation
Introduction,problem framing,Prompt condition can change item-level scoring and total scores can hide item errors,conceptual motivation,all,PAPER_MAINLINE_PLAN.md,PAPER_MAINLINE_PLAN.md,"motivate joint evaluation of score accuracy, item error, evaluability and uncertainty",do not claim that a larger model alone solves the problem
Methods,data and scope,Canonical PHQ/HAMD input and cohort boundaries,primary source contract,PHQ189 / HAMD99,outputs/pdch_all_prompt_fields_corrected_20260807/04_评分维度明细.csv,01_FROZEN_INPUT/canonical_input_bundle.zip,"report cohort, model, condition, thinking mode and source hash",do not pool HAMD24 or silently merge PHQ test47 into development
Methods,metrics,"Total error, item error, cancellation and coverage are distinct estimands",metric definition,Stage2/direct Joint,outputs/hamd_phq_multicondition_path_v1/README_results.md,02_FROZEN_STAGE2/README_results.md,"define MAE, item NAE, sum item AE, cancellation and coverage together",do not treat corrected rho as accuracy or clinical validity
Results,condition heterogeneity,Different items/models show condition-specific signals,descriptive condition evidence,Stage1/direct Joint,outputs/pdch_heterogeneous_condition_three_strategy_20260827; direct Joint candidate table,90_INVENTORY_POINTERS/HISTORICAL_POINTERS.csv; 03_FROZEN_CROSS_AI/result_summary.csv,report heterogeneity and route variability,do not call it a universal mapping
Results,PHQ total performance,Simple fusion can improve PHQ total MAE in primary142 for some models,primary result,PHQ primary142,outputs/hamd_phq_multicondition_path_v1/PHQ_06_total_performance.csv,02_FROZEN_STAGE2/PHQ_06_total_performance.csv,report Mean/B versus C03 with CI/p/q,do not say all symptoms became more accurate
Results,PHQ mechanism,Total MAE gains can coexist with item-level limitations and more cancellation,mechanism,PHQ primary142/test47,outputs/hamd_phq_multicondition_path_v1/PHQ_08_error_mechanism.csv,02_FROZEN_STAGE2/PHQ_08_error_mechanism.csv,"separate item NAE, sum item AE and cancellation",do not equate total improvement with item validity
Results,PHQ replication,test47 is a secondary replication with limited scope,secondary replication,PHQ test47,outputs/hamd_phq_multicondition_path_v1/PHQ_11_test47_fusion_performance.csv,02_FROZEN_STAGE2/PHQ_11_test47_fusion_performance.csv,report only frozen applications and explicit FDR family,do not call it independent external validation
Results,HAMD H14,H14 gold=9 and AI invalid outputs create an evaluability bottleneck,primary limitation/evaluability,HAMD99,outputs/hamd_phq_multicondition_path_v1/HAMD_02_H14_evaluability_by_condition.csv; HAMD_03_H14_rescue.csv,02_FROZEN_STAGE2/HAMD_02_H14_evaluability_by_condition.csv; 02_FROZEN_STAGE2/HAMD_03_H14_rescue.csv,"report invalidity, rescue and coverage",do not convert 9 to 0 or claim reliable rescue
Results,HAMD core,"HAMD16 is a methodological core, while strict17/available are sensitivity layers",layered result,HAMD16/strict17/available,outputs/hamd_phq_multicondition_path_v1/HAMD_12_core16_performance.csv; HAMD_04_accuracy_coverage.csv,02_FROZEN_STAGE2/HAMD_12_core16_performance.csv,report layer and N for every value,do not rename HAMD16 as standard HAMD17
Results,HAMD uncertainty,Oracle headroom and disagreement support an exploratory selective review path,exploratory mechanism,HAMD99,outputs/hamd_phq_multicondition_path_v1/HAMD_06_oracle_upper_bound.csv; HAMD_07_disagreement_error.csv; HAMD_08_selective_prediction.csv,02_FROZEN_STAGE2/HAMD_06_oracle_upper_bound.csv; 02_FROZEN_STAGE2/HAMD_07_disagreement_error.csv; 02_FROZEN_STAGE2/HAMD_08_selective_prediction.csv,frame as uncertainty prioritization,do not call it clinical safety validation
Results,direct Cross-AI,All AI×condition direct Joint routing does not establish a stable universal winner,exploratory extension,PHQ189/HAMD99 direct Joint,outputs/pdch_cross_ai_joint_hamd_phq_combined_20260910/CROSS_AI_JOINT_HAMD_PHQ_result_summary.csv; comparisons.csv; mechanism.csv,03_FROZEN_CROSS_AI/result_summary.csv; comparisons.csv; mechanism.csv,"report candidate pool, route stability and no stable total-score advantage",do not replace formal Stage2 results or announce deployment
Results,old versus new B,Old anchored B and direct Joint-B are different route definitions,method audit,PHQ/HAMD direct Joint,outputs/pdch_cross_ai_joint_hamd_phq_20260910/JointB_oldB_equivalence_summary.csv,03_FROZEN_CROSS_AI/JointB_oldB_equivalence.csv,report same-route rates and explain two-stage restriction,do not merge the two B results
Discussion,synthesis,"A reliable scoring path must combine score accuracy, item truth, evaluability and uncertainty",central synthesis,all,PAPER_MAINLINE_PLAN.md; claim_boundary_matrix.csv,PAPER_MAINLINE_PLAN.md; claim_boundary_matrix.csv,state methodological contribution,"do not claim causality, diagnosis or clinical deployment"
Limitations,human evidence,Automated evidence matching has not passed dual-review content validation,blocked claim,evidence audit,outputs/pdch_twostage_corrected_20260821/evidence_audit_blinded_sample.csv,claim_boundary_matrix.csv,state review as incomplete,do not call evidence fields clinically valid
Limitations,external validity,No independent HAMD cohort; PHQ test47 was previously touched,boundary,all,outputs/hamd_phq_multicondition_path_v1/DATA_GAP_REPORT.md,02_FROZEN_STAGE2/README_results.md,limit claims to internal OOF/secondary replication,do not claim external validation or clinical readiness
Conclusion,practical path,Valid items can be scored automatically and high-disagreement/invalid items can be queued for human review as a research pathway,qualified implication,HAMD/PHQ,PAPER_MAINLINE_PLAN.md; HAMD_07/HAMD_08,PAPER_MAINLINE_PLAN.md; 02_FROZEN_STAGE2/HAMD_07_disagreement_error.csv,present as a hypothesis-generating workflow,do not present as a clinically validated system
