scale,model,item_id,item_name,top_condition_id,top_selection_frequency,normalized_entropy,C03_selection_frequency,condition_distribution
HAMD-17,GLM-5.2,1,抑郁情绪,16,0.6,0.5800794877962906,0.06,"{""C03"": 3, ""C07"": 1, ""C08"": 2, ""C11"": 4, ""C15"": 10, ""C16"": 30}"
HAMD-17,GLM-5.2,2,有罪感,4,0.68,0.45333194624900724,0.08,"{""C03"": 4, ""C04"": 34, ""C08"": 1, ""C12"": 10, ""C16"": 1}"
HAMD-17,GLM-5.2,3,自杀,15,0.78,0.3503489863252107,0.08,"{""C03"": 4, ""C07"": 1, ""C15"": 39, ""C16"": 6}"
HAMD-17,GLM-5.2,4,入睡困难,16,0.46,0.5263829006634281,0.4,"{""C03"": 20, ""C07"": 3, ""C11"": 4, ""C16"": 23}"
HAMD-17,GLM-5.2,5,睡眠不深,7,0.38,0.6236668489427398,0.24,"{""C03"": 12, ""C07"": 19, ""C08"": 14, ""C11"": 5}"
HAMD-17,GLM-5.2,6,早醒,3,0.92,0.16072639673409092,0.92,"{""C03"": 46, ""C04"": 2, ""C07"": 2}"
HAMD-17,GLM-5.2,7,工作和活动,8,0.7,0.48268827592781344,0.08,"{""C03"": 4, ""C07"": 3, ""C08"": 35, ""C11"": 2, ""C15"": 6}"
HAMD-17,GLM-5.2,8,迟滞,7,0.46,0.5705497297942425,0.02,"{""C03"": 1, ""C04"": 2, ""C07"": 23, ""C11"": 18, ""C15"": 6}"
HAMD-17,GLM-5.2,9,激越,15,0.5,0.54025169812271,0.02,"{""C03"": 1, ""C07"": 18, ""C11"": 2, ""C12"": 4, ""C15"": 25}"
HAMD-17,GLM-5.2,10,精神性焦虑,16,0.9,0.2070628010260058,0.0,"{""C07"": 1, ""C08"": 2, ""C15"": 2, ""C16"": 45}"
HAMD-17,GLM-5.2,11,躯体性焦虑,7,0.92,0.1340597300674243,0.08,"{""C03"": 4, ""C07"": 46}"
HAMD-17,GLM-5.2,12,胃肠道症状,12,0.56,0.4568548109677446,0.0,"{""C04"": 2, ""C08"": 2, ""C11"": 18, ""C12"": 28}"
HAMD-17,GLM-5.2,13,全身症状,15,0.62,0.4133957662174355,0.08,"{""C03"": 4, ""C11"": 15, ""C15"": 31}"
HAMD-17,GLM-5.2,15,疑病,15,0.58,0.4557127151121798,0.0,"{""C08"": 14, ""C15"": 29, ""C16"": 7}"
HAMD-17,GLM-5.2,16,体重减轻,7,0.72,0.3771048962165737,0.0,"{""C07"": 36, ""C08"": 8, ""C15"": 6}"
