condition_id,inner_mean_mae,inner_se,inner_valid_fold_n,scale,cohort,model,thinking_mode,item_id,item_name,repeat,fold,outer_train_subject_n,outer_validation_subject_n
3,0.7633333333333333,0.12918279469203492,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪,0,0,79,20
4,0.71,0.10135025900312243,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪,0,0,79,20
7,0.6625,0.09999999999999999,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪,0,0,79,20
8,0.7341666666666666,0.023176556641955632,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪,0,0,79,20
11,0.71,0.10135025900312243,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪,0,0,79,20
12,0.7491666666666668,0.12930369076110876,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪,0,0,79,20
15,0.7366666666666667,0.09517345276447162,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪,0,0,79,20
16,0.8008333333333333,0.1335830993967592,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪,0,0,79,20
3,0.5591666666666667,0.05313766188976619,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感,0,0,79,20
4,0.53,0.061568051780123756,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感,0,0,79,20
7,0.5066666666666666,0.09904579468329003,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感,0,0,79,20
8,0.4708333333333333,0.09377314529105747,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感,0,0,79,20
11,0.545,0.05923997805536392,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感,0,0,79,20
12,0.5066666666666666,0.05966631750363385,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感,0,0,79,20
15,0.5966666666666667,0.09680127122673085,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感,0,0,79,20
16,0.5308333333333334,0.0685616105735888,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感,0,0,79,20
3,0.5675,0.08808731463723933,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀,0,0,79,20
4,0.73,0.11928170438084795,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀,0,0,79,20
7,0.6683333333333333,0.12343886251006114,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀,0,0,79,20
8,0.8841666666666667,0.09481707534921005,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀,0,0,79,20
11,0.6799999999999999,0.10372740717862373,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀,0,0,79,20
12,0.7683333333333333,0.09491041097324945,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀,0,0,79,20
15,0.54,0.09979666828106036,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀,0,0,79,20
16,0.5416666666666667,0.09569736731546542,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀,0,0,79,20
3,0.4033333333333333,0.0394713327759668,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难,0,0,79,20
4,0.4541666666666667,0.051200857197685454,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难,0,0,79,20
7,0.5066666666666666,0.020858318351306377,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难,0,0,79,20
8,0.49333333333333335,0.04008671156935231,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难,0,0,79,20
11,0.3675,0.024558603380485624,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难,0,0,79,20
12,0.4425,0.054715171570598214,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难,0,0,79,20
15,0.4416666666666667,0.04135298591933168,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难,0,0,79,20
16,0.4791666666666667,0.04320091948609942,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难,0,0,79,20
3,0.5058333333333334,0.03199392303408744,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深,0,0,79,20
4,0.5566666666666666,0.03472611089335772,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深,0,0,79,20
7,0.48,0.07132671308843552,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深,0,0,79,20
8,0.6675,0.07077693833446032,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深,0,0,79,20
11,0.5933333333333334,0.04663317250389231,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深,0,0,79,20
12,0.5308333333333334,0.0626054665699765,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深,0,0,79,20
15,0.5308333333333334,0.06856161057358881,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深,0,0,79,20
16,0.5183333333333333,0.07636034820361794,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深,0,0,79,20
3,0.3708333333333333,0.11071108546322019,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,6,早醒,0,0,79,20
4,0.4216666666666667,0.09690882026133867,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,6,早醒,0,0,79,20
7,0.3716666666666667,0.10902344294284191,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,6,早醒,0,0,79,20
8,0.4066666666666666,0.06113225644271425,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,6,早醒,0,0,79,20
11,0.48583333333333334,0.12116047668737157,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,6,早醒,0,0,79,20
12,0.3958333333333333,0.10290907529357056,5,HAMD-17,PDCH标签99人,GLM-5.2,思考,6,早醒,0,0,79,20
