dataset,cohort,model,mode,condition,item_id,item_name,n,evaluated_n,mae,mean_bias,mean_confidence,evidence_rate,reasoning_rate,high_conf_error_rate,predicted_positive_rate,score9_n
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,1,抑郁情绪,24,24,0.5,0.08333333333333333,0.8729166666666667,1.0,1.0,0.20833333333333334,0.8333333333333334,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,2,有罪感,24,24,0.6666666666666666,-0.4166666666666667,0.8708333333333332,1.0,1.0,0.16666666666666666,0.7083333333333334,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,3,自我安全风险,24,24,0.4583333333333333,0.375,0.9208333333333334,1.0,1.0,0.125,0.4166666666666667,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,4,入睡困难,24,24,0.3333333333333333,0.08333333333333333,0.9083333333333333,1.0,1.0,0.16666666666666666,0.375,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,5,睡眠不深,24,24,0.375,-0.2916666666666667,0.8666666666666667,1.0,1.0,0.125,0.5416666666666666,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,6,早醒,24,24,0.4166666666666667,-0.16666666666666666,0.8645833333333334,1.0,1.0,0.125,0.3333333333333333,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,7,工作和兴趣,24,24,0.625,0.125,0.8395833333333332,1.0,1.0,0.16666666666666666,0.8333333333333334,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,8,迟滞,24,24,0.625,0.125,0.7937500000000001,0.9583333333333334,1.0,0.0,0.4583333333333333,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,9,激越,24,24,0.75,0.25,0.7979166666666666,0.9166666666666666,1.0,0.0,0.6666666666666666,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,10,精神性焦虑,24,24,0.5416666666666666,-0.2916666666666667,0.8375,1.0,1.0,0.08333333333333333,0.6666666666666666,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,11,躯体性焦虑,24,24,0.6666666666666666,-0.4166666666666667,0.8333333333333334,1.0,1.0,0.125,0.875,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,12,胃肠道症状,24,24,0.3333333333333333,0.16666666666666666,0.8541666666666666,1.0,1.0,0.0,0.7083333333333334,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,13,全身症状,24,24,0.2916666666666667,-0.041666666666666664,0.85,1.0,1.0,0.08333333333333333,0.75,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,14,性症状,24,11,0.2727272727272727,4.2727272727272725,0.8395833333333332,0.7916666666666666,1.0,0.3333333333333333,0.3333333333333333,13
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,15,疑病,24,24,0.4166666666666667,-0.16666666666666666,0.8270833333333334,0.9583333333333334,1.0,0.041666666666666664,0.625,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,16,体重减轻,24,24,0.25,0.08333333333333333,0.9249999999999999,1.0,1.0,0.08333333333333333,0.25,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C03,17,自知力,24,24,0.20833333333333334,-0.041666666666666664,0.8833333333333333,1.0,1.0,0.16666666666666666,0.20833333333333334,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,1,抑郁情绪,24,24,0.5833333333333334,0.08333333333333333,0.8854166666666666,1.0,1.0,0.3333333333333333,0.8333333333333334,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,2,有罪感,24,24,0.7083333333333334,-0.4583333333333333,0.8854166666666666,1.0,1.0,0.16666666666666666,0.625,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,3,自我安全风险,24,24,0.5416666666666666,0.5416666666666666,0.9270833333333334,1.0,1.0,0.16666666666666666,0.4583333333333333,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,4,入睡困难,24,24,0.2916666666666667,0.125,0.9104166666666668,1.0,1.0,0.16666666666666666,0.4166666666666667,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,5,睡眠不深,24,24,0.3333333333333333,-0.25,0.8875000000000001,1.0,1.0,0.16666666666666666,0.5833333333333334,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,6,早醒,24,24,0.4583333333333333,-0.125,0.8583333333333334,1.0,1.0,0.16666666666666666,0.3333333333333333,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,7,工作和兴趣,24,24,0.75,0.25,0.8604166666666666,1.0,1.0,0.20833333333333334,0.8333333333333334,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,8,迟滞,24,24,0.6666666666666666,0.25,0.7791666666666667,0.8333333333333334,1.0,0.0,0.5416666666666666,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,9,激越,24,24,0.7083333333333334,0.2916666666666667,0.8291666666666666,1.0,1.0,0.125,0.6666666666666666,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,10,精神性焦虑,24,24,0.5,-0.16666666666666666,0.8375,1.0,1.0,0.08333333333333333,0.7083333333333334,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,11,躯体性焦虑,24,24,0.5416666666666666,-0.2916666666666667,0.8479166666666668,1.0,1.0,0.041666666666666664,0.875,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,12,胃肠道症状,24,24,0.2916666666666667,0.20833333333333334,0.8520833333333333,1.0,1.0,0.0,0.7083333333333334,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,13,全身症状,24,24,0.20833333333333334,-0.041666666666666664,0.8645833333333334,1.0,1.0,0.041666666666666664,0.7083333333333334,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,14,性症状,24,13,0.38461538461538464,3.5454545454545454,0.85,0.8333333333333334,1.0,0.2916666666666667,0.375,11
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,15,疑病,24,24,0.3333333333333333,-0.08333333333333333,0.8375,0.9583333333333334,1.0,0.041666666666666664,0.625,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,16,体重减轻,24,24,0.25,0.08333333333333333,0.8979166666666667,0.9583333333333334,1.0,0.08333333333333333,0.25,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C04,17,自知力,24,24,0.20833333333333334,-0.041666666666666664,0.8854166666666666,1.0,1.0,0.125,0.20833333333333334,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,1,抑郁情绪,24,24,0.75,0.25,0.9,1.0,1.0,0.5,0.7916666666666666,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,2,有罪感,24,24,0.5833333333333334,-0.4166666666666667,0.9166666666666666,0.9166666666666666,1.0,0.25,0.5,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,3,自我安全风险,24,24,0.75,0.75,0.9333333333333332,1.0,1.0,0.20833333333333334,0.5416666666666666,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,4,入睡困难,24,24,0.4583333333333333,0.20833333333333334,0.9145833333333333,1.0,1.0,0.16666666666666666,0.4583333333333333,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,5,睡眠不深,24,24,0.4583333333333333,-0.2916666666666667,0.88125,0.9166666666666666,1.0,0.25,0.5833333333333334,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,6,早醒,24,24,0.4166666666666667,-0.08333333333333333,0.875,0.9166666666666666,1.0,0.125,0.4166666666666667,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,7,工作和兴趣,24,24,0.7083333333333334,0.2916666666666667,0.8854166666666666,1.0,1.0,0.2916666666666667,0.7916666666666666,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,8,迟滞,24,24,0.7083333333333334,0.2916666666666667,0.8083333333333332,0.9166666666666666,1.0,0.125,0.5833333333333334,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,9,激越,24,24,0.5416666666666666,0.125,0.8104166666666667,0.7083333333333334,1.0,0.08333333333333333,0.5833333333333334,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,10,精神性焦虑,24,24,0.5,0.0,0.86875,0.9166666666666666,1.0,0.125,0.6666666666666666,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,11,躯体性焦虑,24,24,0.4583333333333333,-0.125,0.8895833333333334,1.0,1.0,0.3333333333333333,0.875,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,12,胃肠道症状,24,24,0.4166666666666667,0.3333333333333333,0.8604166666666666,1.0,1.0,0.08333333333333333,0.7083333333333334,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,13,全身症状,24,24,0.375,0.041666666666666664,0.9,1.0,1.0,0.20833333333333334,0.6666666666666666,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,14,性症状,24,17,0.4117647058823529,1.9545454545454546,0.9125,0.75,1.0,0.375,0.4583333333333333,7
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,15,疑病,24,24,0.20833333333333334,-0.125,0.8833333333333333,0.9583333333333334,1.0,0.041666666666666664,0.5,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,16,体重减轻,24,24,0.2916666666666667,0.2916666666666667,0.9291666666666667,0.9583333333333334,1.0,0.08333333333333333,0.3333333333333333,0
HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,C07,17,自知力,24,24,0.20833333333333334,0.041666666666666664,0.93125,1.0,1.0,0.125,0.2916666666666667,0
