对比类型,处理因素,量表,队列,模型,思考模式,条目编号,条目名称,参照条件编号,参照刺激条件,目标条件编号,目标刺激条件,共同被试数N,共同被试普通总分一致,共同被试校正总分一致,普通参照相关,普通目标相关,普通相关变化（目标－参照）,普通变化95%CI下限,普通变化95%CI上限,普通置换P值,校正参照相关,校正目标相关,校正相关变化（目标－参照）,校正变化95%CI下限,校正变化95%CI上限,校正置换P值,可估计性代码,可估计性,普通FDR校正q值,校正FDR校正q值,校正差异结论
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,1,抑郁情绪,3,C03：全文｜不规整｜逐条评分｜不清洗,4,C04：全文｜不规整｜逐条评分｜清洗,24,是,是,0.7436431822169829,0.7314745942980608,-0.012168587918922058,-0.18602105477517014,0.17543488874066693,0.8935532233883059,0.59549773804163,0.6224228834068171,0.026925145365187086,-0.17272016772768656,0.25694773629441847,0.7806096951524237,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,1,抑郁情绪,3,C03：全文｜不规整｜逐条评分｜不清洗,7,C07：全文｜规整｜逐条评分｜不清洗,24,是,是,0.7436431822169829,0.7832166864311417,0.03957350421415884,-0.15090357858053835,0.22920386600575454,0.6401799100449775,0.59549773804163,0.6945900996381279,0.09909236159649792,-0.13543333715651656,0.3913231153405563,0.37031484257871067,exploratory_only,探索性,0.9643216366500295,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,1,抑郁情绪,3,C03：全文｜不规整｜逐条评分｜不清洗,8,C08：全文｜规整｜逐条评分｜清洗,24,是,是,0.7436431822169829,0.7137736338465019,-0.029869548370480947,-0.18021952458713078,0.1317787527652531,0.7331334332833583,0.59549773804163,0.5690501559787999,-0.026447582062830044,-0.18819601132065514,0.14252451263644583,0.8415792103948025,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,1,抑郁情绪,3,C03：全文｜不规整｜逐条评分｜不清洗,11,C11：事件序列｜不规整｜逐条评分｜不清洗,24,是,是,0.7436431822169829,0.756298805836962,0.012655623619979073,-0.1108862480894133,0.15873615906601582,0.8465767116441779,0.59549773804163,0.6403281910423032,0.04483045300067323,-0.11945031649438152,0.22349404634999112,0.7341329335332334,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,1,抑郁情绪,3,C03：全文｜不规整｜逐条评分｜不清洗,12,C12：事件序列｜不规整｜逐条评分｜清洗,24,是,是,0.7436431822169829,0.7503175569429249,0.006674374725942012,-0.19254459336311017,0.18461349689533021,0.9440279860069966,0.59549773804163,0.6350573207314035,0.039559582689773554,-0.17057448917137927,0.2566888552451451,0.7201399300349826,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,1,抑郁情绪,3,C03：全文｜不规整｜逐条评分｜不清洗,15,C15：事件序列｜规整｜逐条评分｜不清洗,24,是,是,0.7436431822169829,0.6124339059116364,-0.1312092763053465,-0.32744287258052207,0.061170887193363735,0.14592703648175911,0.59549773804163,0.5339444406636683,-0.06155329737796167,-0.2680833803751969,0.17586276656281422,0.6521739130434783,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,1,抑郁情绪,3,C03：全文｜不规整｜逐条评分｜不清洗,16,C16：事件序列｜规整｜逐条评分｜清洗,24,是,是,0.7436431822169829,0.6979391694784218,-0.04570401273856106,-0.24143980926875483,0.17964213586228314,0.6196901549225388,0.59549773804163,0.5993345920035181,0.0038368539618881536,-0.23059976772963162,0.2589748587685069,0.9835082458770614,exploratory_only,探索性,0.9643216366500295,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,2,有罪感,3,C03：全文｜不规整｜逐条评分｜不清洗,4,C04：全文｜不规整｜逐条评分｜清洗,24,是,是,0.41287707647474264,0.2734027716418921,-0.13947430483285056,-0.3429477289256767,0.0,0.0004997501249375312,0.33553077157592176,0.179055753673614,-0.15647501790230775,-0.36669915861169283,0.0,0.2563718140929535,exploratory_only,探索性,0.006607807207507357,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,2,有罪感,3,C03：全文｜不规整｜逐条评分｜不清洗,7,C07：全文｜规整｜逐条评分｜不清洗,24,是,是,0.41287707647474264,0.40695126753960004,-0.005925808935142607,-0.20654777739446292,0.20924634051382646,0.9685157421289355,0.33553077157592176,0.2760610082981799,-0.05946976327774184,-0.2857479055532716,0.14481618429700974,0.6526736631684158,exploratory_only,探索性,1.0,1.0,差异未达FDR显著
各逐题条件相对C03,相对C03,HAMD-17,PDCH共同24人验证,GLM-5.2,不思考,2,有罪感,3,C03：全文｜不规整｜逐条评分｜不清洗,8,C08：全文｜规整｜逐条评分｜清洗,24,是,是,0.41287707647474264,0.2699759317817533,-0.14290114469298937,-0.44977783805928956,0.13513433605590108,0.40379810094952523,0.33553077157592176,0.13650933963002737,-0.1990214319458944,-0.4740471989166469,0.09442759066520089,0.22988505747126436,exploratory_only,探索性,0.9242000621310966,1.0,差异未达FDR显著
