scale,cohort,model,thinking_mode,item_id,item_name,selected_condition_id,selected_rho,runner_up_condition_id,runner_up_rho,winner_runner_up_delta,selection_reason,n_common,repeat,fold,validation_layer,train_subject_n,test_subject_n
HAMD-17,PDCH标签99人,GLM-5.2,思考,1,抑郁情绪,16,0.5565650477024214,3.0,0.5488650187028633,0.007700028999558128,max_corrected_rho,79,0,0,repeated_10x5_oof,79,20
HAMD-17,PDCH标签99人,GLM-5.2,思考,2,有罪感,4,0.4742372873790273,12.0,0.46265222585296945,0.011585061526057872,max_corrected_rho,79,0,0,repeated_10x5_oof,79,20
HAMD-17,PDCH标签99人,GLM-5.2,思考,3,自杀,15,0.4154821911919991,16.0,0.3902087684724065,0.025273422719592598,max_corrected_rho,79,0,0,repeated_10x5_oof,79,20
HAMD-17,PDCH标签99人,GLM-5.2,思考,4,入睡困难,3,0.47049187039685497,16.0,0.4497609944643737,0.020730875932481296,max_corrected_rho,79,0,0,repeated_10x5_oof,79,20
HAMD-17,PDCH标签99人,GLM-5.2,思考,5,睡眠不深,7,0.20058079539664023,3.0,0.1685600516011759,0.032020743795464324,max_corrected_rho,79,0,0,repeated_10x5_oof,79,20
HAMD-17,PDCH标签99人,GLM-5.2,思考,6,早醒,3,0.31646591030542653,4.0,0.276861047329231,0.03960486297619553,max_corrected_rho,79,0,0,repeated_10x5_oof,79,20
HAMD-17,PDCH标签99人,GLM-5.2,思考,7,工作和活动,8,0.6362039909519631,7.0,0.624538164507553,0.011665826444410166,max_corrected_rho,79,0,0,repeated_10x5_oof,79,20
HAMD-17,PDCH标签99人,GLM-5.2,思考,8,迟滞,7,0.5511508879291908,11.0,0.47360359131141566,0.0775472966177751,max_corrected_rho,79,0,0,repeated_10x5_oof,79,20
HAMD-17,PDCH标签99人,GLM-5.2,思考,9,激越,15,0.4096576936241043,11.0,0.383364973184201,0.026292720439903328,max_corrected_rho,79,0,0,repeated_10x5_oof,79,20
HAMD-17,PDCH标签99人,GLM-5.2,思考,10,精神性焦虑,16,0.5570273343439008,8.0,0.5294473045676868,0.027580029776213988,max_corrected_rho,79,0,0,repeated_10x5_oof,79,20
HAMD-17,PDCH标签99人,GLM-5.2,思考,11,躯体性焦虑,3,0.5669012802565908,7.0,0.5558908198752491,0.01101046038134168,max_corrected_rho,79,0,0,repeated_10x5_oof,79,20
HAMD-17,PDCH标签99人,GLM-5.2,思考,12,胃肠道症状,11,0.4667007012392595,12.0,0.4500495151438538,0.016651186095405723,max_corrected_rho,79,0,0,repeated_10x5_oof,79,20
HAMD-17,PDCH标签99人,GLM-5.2,思考,13,全身症状,11,0.5417855806377597,3.0,0.5280468239268998,0.01373875671085989,max_corrected_rho,79,0,0,repeated_10x5_oof,79,20
HAMD-17,PDCH标签99人,GLM-5.2,思考,14,性症状,7,0.5450178681871714,3.0,0.5177904466928941,0.02722742149427726,max_corrected_rho,38,0,0,repeated_10x5_oof,79,20
HAMD-17,PDCH标签99人,GLM-5.2,思考,15,疑病,15,0.25307948769813987,16.0,0.23231589927433446,0.020763588423805407,max_corrected_rho,79,0,0,repeated_10x5_oof,79,20
HAMD-17,PDCH标签99人,GLM-5.2,思考,16,体重减轻,7,0.23130538616811522,8.0,0.20200233781036958,0.029303048357745637,max_corrected_rho,79,0,0,repeated_10x5_oof,79,20
HAMD-17,PDCH标签99人,GLM-5.2,思考,17,自知力,11,0.015030181320608472,3.0,0.013764952874477097,0.001265228446131375,max_corrected_rho,79,0,0,repeated_10x5_oof,79,20
