dataset,model,mode,pathway,baseline_condition,target_condition,baseline_template_id,target_template_id,intended_manipulation,baseline_prompt_version,target_prompt_version,baseline_prompt_version_assessment,target_prompt_version_assessment,exact_same,normalized_same,changed_line_n,added_line_n,removed_line_n,added_text,removed_text,unified_diff,changed_prompt_features,unchanged_prompt_features,unexpected_changes,single_factor_status,interpretation_allowed,notes
HAMD-17,GLM-5.2,不思考,评分路径,C03,C04,PROMPT_000005,PROMPT_000005,清洗,word-2026-06-25,word-2026-06-25,candidate_source_version,candidate_source_version,yes,yes,0,0,0,,,,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
HAMD-17,GLM-5.2,不思考,评分路径,C03,C07,PROMPT_000005,PROMPT_000009,规整/规范化,word-2026-06-25,word-2026-06-25,candidate_source_version,candidate_source_version,no,no,8,1,1,以下输入文本为【临床记录文本】。,以下输入文本为【临床访谈文本】。,"--- baseline
+++ target
@@ -1,7 +1,7 @@
 # Role
 你是一名具备丰富临床经验的心理学家和精神科评估专家。
 # Instruction
-以下输入文本为【临床访谈文本】。
+以下输入文本为【临床记录文本】。
 你的任务是基于该文本，对来访者进行汉密尔顿抑郁量表（HAMD-17）抑郁症状评分。
 以下是汉密尔顿抑郁量表（HAMD-17）的选项标准、所涵盖的症状维度与严重程度定义：
 大部分项目采用0～4分的5级评分法，各级标准为：（0）无；（1）轻度；（2）中度；（3）重度；（4）极重度；少数项目采用0～2分的3级评分法，各级标准为：（0）无；（1）轻～中度；（2）重度。",,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,仅出现未被特征编码捕捉的文字差异；需要人工复核。
HAMD-17,GLM-5.2,不思考,评分路径,C03,C11,PROMPT_000005,PROMPT_000004,事件序列输入范围,word-2026-06-25,word-2026-06-25,candidate_source_version,candidate_source_version,no,no,8,1,1,以下输入文本为【临床访谈事件序列】。该文本基于汉密尔顿抑郁量表（HAMD-17）症状维度进行事件划分，按事件发生顺序排列，包含事件标记（如事件01、事件02）。,以下输入文本为【临床访谈文本】。,"--- baseline
+++ target
@@ -1,7 +1,7 @@
 # Role
 你是一名具备丰富临床经验的心理学家和精神科评估专家。
 # Instruction
-以下输入文本为【临床访谈文本】。
+以下输入文本为【临床访谈事件序列】。该文本基于汉密尔顿抑郁量表（HAMD-17）症状维度进行事件划分，按事件发生顺序排列，包含事件标记（如事件01、事件02）。
 你的任务是基于该文本，对来访者进行汉密尔顿抑郁量表（HAMD-17）抑郁症状评分。
 以下是汉密尔顿抑郁量表（HAMD-17）的选项标准、所涵盖的症状维度与严重程度定义：
 大部分项目采用0～4分的5级评分法，各级标准为：（0）无；（1）轻度；（2）中度；（3）重度；（4）极重度；少数项目采用0～2分的3级评分法，各级标准为：（0）无；（1）轻～中度；（2）重度。",,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,仅出现未被特征编码捕捉的文字差异；需要人工复核。
HAMD-17,GLM-5.2,不思考,等级路径,C01,C02,PROMPT_000003,PROMPT_000003,清洗,word-2026-06-25,word-2026-06-25,candidate_source_version,candidate_source_version,yes,yes,0,0,0,,,,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
HAMD-17,GLM-5.2,不思考,等级路径,C01,C05,PROMPT_000003,PROMPT_000015,规整/规范化,word-2026-06-25,word-2026-06-25,candidate_source_version,candidate_source_version,no,no,8,1,1,以下输入文本为【临床记录文本】。,以下输入文本为【临床访谈文本】。,"--- baseline
+++ target
@@ -1,7 +1,7 @@
 # Role
 你是一名具备丰富临床经验的心理学家和精神科评估专家。
 # Instruction
-以下输入文本为【临床访谈文本】。
+以下输入文本为【临床记录文本】。
 # Step
 1. 通读输入文本，提取其中提及的汉密尔顿抑郁量表（HAMD-17）症状维度与严重程度相关临床证据。
 2. 基于输入文本线索和 HAMD-17 症状维度与严重程度各维度，判断来访者当前的整体抑郁严重程度等级。",temporal_constraint,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,固定提示词中仅检测到一个理论特征改变；仍需人工抽查差分文本。
HAMD-17,GLM-5.2,不思考,等级路径,C01,C09,PROMPT_000003,PROMPT_000022,事件序列输入范围,word-2026-06-25,word-2026-06-25,candidate_source_version,candidate_source_version,no,no,8,1,1,以下输入文本为【临床访谈事件序列】。该文本基于汉密尔顿抑郁量表（HAMD-17）症状维度进行事件划分，按事件发生顺序排列，包含事件标记（如事件01、事件02）。,以下输入文本为【临床访谈文本】。,"--- baseline
+++ target
@@ -1,7 +1,7 @@
 # Role
 你是一名具备丰富临床经验的心理学家和精神科评估专家。
 # Instruction
-以下输入文本为【临床访谈文本】。
+以下输入文本为【临床访谈事件序列】。该文本基于汉密尔顿抑郁量表（HAMD-17）症状维度进行事件划分，按事件发生顺序排列，包含事件标记（如事件01、事件02）。
 # Step
 1. 通读输入文本，提取其中提及的汉密尔顿抑郁量表（HAMD-17）症状维度与严重程度相关临床证据。
 2. 基于输入文本线索和 HAMD-17 症状维度与严重程度各维度，判断来访者当前的整体抑郁严重程度等级。",temporal_constraint,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,固定提示词中仅检测到一个理论特征改变；仍需人工抽查差分文本。
HAMD-17,GLM-5.2,思考,评分路径,C03,C04,PROMPT_000005,PROMPT_000005,清洗,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,multiple_versions_in_context,multiple_versions_in_context,yes,yes,0,0,0,,,,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
HAMD-17,GLM-5.2,思考,评分路径,C03,C07,PROMPT_000005,PROMPT_000009,规整/规范化,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,multiple_versions_in_context,multiple_versions_in_context,no,no,8,1,1,以下输入文本为【临床记录文本】。,以下输入文本为【临床访谈文本】。,"--- baseline
+++ target
@@ -1,7 +1,7 @@
 # Role
 你是一名具备丰富临床经验的心理学家和精神科评估专家。
 # Instruction
-以下输入文本为【临床访谈文本】。
+以下输入文本为【临床记录文本】。
 你的任务是基于该文本，对来访者进行汉密尔顿抑郁量表（HAMD-17）抑郁症状评分。
 以下是汉密尔顿抑郁量表（HAMD-17）的选项标准、所涵盖的症状维度与严重程度定义：
 大部分项目采用0～4分的5级评分法，各级标准为：（0）无；（1）轻度；（2）中度；（3）重度；（4）极重度；少数项目采用0～2分的3级评分法，各级标准为：（0）无；（1）轻～中度；（2）重度。",,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,仅出现未被特征编码捕捉的文字差异；需要人工复核。
HAMD-17,GLM-5.2,思考,评分路径,C03,C11,PROMPT_000005,PROMPT_000004,事件序列输入范围,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,multiple_versions_in_context,multiple_versions_in_context,no,no,8,1,1,以下输入文本为【临床访谈事件序列】。该文本基于汉密尔顿抑郁量表（HAMD-17）症状维度进行事件划分，按事件发生顺序排列，包含事件标记（如事件01、事件02）。,以下输入文本为【临床访谈文本】。,"--- baseline
+++ target
@@ -1,7 +1,7 @@
 # Role
 你是一名具备丰富临床经验的心理学家和精神科评估专家。
 # Instruction
-以下输入文本为【临床访谈文本】。
+以下输入文本为【临床访谈事件序列】。该文本基于汉密尔顿抑郁量表（HAMD-17）症状维度进行事件划分，按事件发生顺序排列，包含事件标记（如事件01、事件02）。
 你的任务是基于该文本，对来访者进行汉密尔顿抑郁量表（HAMD-17）抑郁症状评分。
 以下是汉密尔顿抑郁量表（HAMD-17）的选项标准、所涵盖的症状维度与严重程度定义：
 大部分项目采用0～4分的5级评分法，各级标准为：（0）无；（1）轻度；（2）中度；（3）重度；（4）极重度；少数项目采用0～2分的3级评分法，各级标准为：（0）无；（1）轻～中度；（2）重度。",,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,feature coding did not detect semantic change,mostly_single_factor,single_factor_interpretation,仅出现未被特征编码捕捉的文字差异；需要人工复核。
HAMD-17,GLM-5.2,思考,等级路径,C01,C02,PROMPT_000003,PROMPT_000003,清洗,word-2026-06-25; 正式使用提示词-2026-06-25,word-2026-06-25; 正式使用提示词-2026-06-25,multiple_versions_in_context,multiple_versions_in_context,yes,yes,0,0,0,,,,,evidence_requirement;evidence_quote_required;explicit_scoring_anchors;negation_handling;missing_information_rule;temporal_constraint;frequency_requirement;inference_permission;speaker_restriction;abstention_permission;output_rigidity;itemwise_reasoning_requirement;aggregation_instruction;uncertainty_requirement,,clean_single_factor,single_factor_interpretation,固定system prompt完全相同；预期操纵发生在运行时输入条件，而非提示词文字。
