scale,analysis_layer,model,strategy,item_id,item_name,full_cohort_selected_condition_id,full_cohort_selected_condition,selection_reason,full_cohort_common_subject_n,selected_corrected_rho,selected_item_MAE,C03_item_MAE,delta_item_MAE,selected_item_NAE,C03_item_NAE,selected_coverage,C03_coverage,outer_route_top_condition,outer_route_top_frequency,outer_route_normalized_entropy,full_map_matches_outer_mode,cell_total_generalization_supported,future_use_status
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,B,1,兴趣或愉悦感降低,11,C11,min_item_mae,0,,0.582010582010582,0.6137566137566137,-0.031746031746031744,0.1940035273368607,0.20458553791887124,1.0,1.0,C11,0.94,0.10914830638482544,True,True,仅作为未来独立样本的前瞻候选B映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,B,2,情绪低落、抑郁或无望,11,C11,min_item_mae,0,,0.5291005291005291,0.5343915343915344,-0.005291005291005346,0.17636684303350966,0.17813051146384476,1.0,1.0,C03,0.4,0.51784031704249,False,True,仅作为未来独立样本的前瞻候选B映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,B,3,睡眠问题,3,C03,min_item_mae,0,,0.49206349206349204,0.49206349206349204,0.0,0.16402116402116398,0.16402116402116398,1.0,1.0,C03,0.86,0.19474627054761864,True,True,仅作为未来独立样本的前瞻候选B映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,B,4,疲劳或精力不足,15,C15,min_item_mae,0,,0.746031746031746,0.8095238095238095,-0.06349206349206349,0.24867724867724866,0.2698412698412698,1.0,1.0,C15,0.48,0.5162904999404243,True,True,仅作为未来独立样本的前瞻候选B映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,B,5,食欲问题,7,C07,min_item_mae,0,,0.8888888888888888,0.9153439153439153,-0.02645502645502651,0.2962962962962963,0.3051146384479718,1.0,1.0,C07,0.58,0.5256749391230646,True,True,仅作为未来独立样本的前瞻候选B映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,B,6,自我评价低或让家人失望,11,C11,min_item_mae,0,,0.6349206349206349,0.671957671957672,-0.03703703703703709,0.21164021164021163,0.2239858906525573,1.0,1.0,C11,0.96,0.0807640630274716,True,True,仅作为未来独立样本的前瞻候选B映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,B,7,注意力困难,4,C04,min_item_mae,0,,0.6507936507936508,0.6984126984126984,-0.04761904761904756,0.21693121693121692,0.2328042328042328,1.0,1.0,C04,0.9,0.18869688434491605,True,True,仅作为未来独立样本的前瞻候选B映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,DeepSeek-V4-Pro,B,8,动作或语速改变,3,C03,min_item_mae_tie_prefer_c03,0,,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,1.0,1.0,C03,0.62,0.47595628611912993,True,True,仅作为未来独立样本的前瞻候选B映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,GLM-5.2,B,1,兴趣或愉悦感降低,3,C03,min_item_mae_tie_prefer_c03,0,,0.49206349206349204,0.49206349206349204,0.0,0.164021164021164,0.164021164021164,1.0,1.0,C03,0.56,0.3298625070740185,True,False,不建议替换C03；仅保留B探索性全样本映射
PHQ-8,PHQ8_complete,GLM-5.2,B,2,情绪低落、抑郁或无望,11,C11,min_item_mae,0,,0.5291005291005291,0.5343915343915344,-0.005291005291005346,0.17636684303350966,0.1781305114638448,1.0,1.0,C11,0.58,0.3271512983445512,True,False,不建议替换C03；仅保留B探索性全样本映射
PHQ-8,PHQ8_complete,GLM-5.2,B,3,睡眠问题,3,C03,min_item_mae,0,,0.5079365079365079,0.5079365079365079,0.0,0.1693121693121693,0.1693121693121693,1.0,1.0,C03,0.8,0.24064269829578744,True,False,不建议替换C03；仅保留B探索性全样本映射
PHQ-8,PHQ8_complete,GLM-5.2,B,4,疲劳或精力不足,3,C03,min_item_mae,0,,0.6984126984126984,0.6984126984126984,0.0,0.23280423280423276,0.23280423280423276,1.0,1.0,C03,0.68,0.40692175612560444,True,False,不建议替换C03；仅保留B探索性全样本映射
PHQ-8,PHQ8_complete,GLM-5.2,B,5,食欲问题,15,C15,min_item_mae,0,,0.873015873015873,0.8783068783068783,-0.005291005291005235,0.291005291005291,0.2927689594356261,1.0,1.0,C15,0.42,0.5755415644506708,True,False,不建议替换C03；仅保留B探索性全样本映射
PHQ-8,PHQ8_complete,GLM-5.2,B,6,自我评价低或让家人失望,11,C11,min_item_mae,0,,0.5661375661375662,0.5767195767195767,-0.010582010582010581,0.18871252204585537,0.19223985890652553,1.0,1.0,C11,0.66,0.34485202366604856,True,False,不建议替换C03；仅保留B探索性全样本映射
PHQ-8,PHQ8_complete,GLM-5.2,B,7,注意力困难,3,C03,min_item_mae,0,,0.6296296296296297,0.6296296296296297,0.0,0.2098765432098765,0.2098765432098765,1.0,1.0,C03,1.0,0.0,True,False,不建议替换C03；仅保留B探索性全样本映射
PHQ-8,PHQ8_complete,GLM-5.2,B,8,动作或语速改变,3,C03,min_item_mae,0,,0.3544973544973545,0.3544973544973545,0.0,0.11816578483245149,0.11816578483245149,1.0,1.0,C03,0.88,0.23481953844354456,True,False,不建议替换C03；仅保留B探索性全样本映射
PHQ-8,PHQ8_complete,Qwen3.7-Max,B,1,兴趣或愉悦感降低,12,C12,min_item_mae,0,,0.5661375661375662,0.6084656084656085,-0.042328042328042326,0.18871252204585537,0.20282186948853614,1.0,1.0,C12,0.82,0.2568878486626321,True,True,仅作为未来独立样本的前瞻候选B映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,Qwen3.7-Max,B,2,情绪低落、抑郁或无望,4,C04,min_item_mae,0,,0.47619047619047616,0.5026455026455027,-0.02645502645502651,0.15873015873015872,0.16754850088183423,1.0,1.0,C04,0.66,0.34485202366604856,True,True,仅作为未来独立样本的前瞻候选B映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,Qwen3.7-Max,B,3,睡眠问题,11,C11,min_item_mae,0,,0.4708994708994709,0.47619047619047616,-0.005291005291005291,0.15696649029982362,0.15873015873015872,1.0,1.0,C11,0.6,0.36183645910035045,True,True,仅作为未来独立样本的前瞻候选B映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,Qwen3.7-Max,B,4,疲劳或精力不足,4,C04,min_item_mae_tie_auxiliary_metrics,0,,0.708994708994709,0.7883597883597884,-0.07936507936507942,0.23633156966490296,0.26278659611992944,1.0,1.0,C04,0.52,0.3329485119984006,True,True,仅作为未来独立样本的前瞻候选B映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,Qwen3.7-Max,B,5,食欲问题,16,C16,min_item_mae,0,,0.8835978835978836,0.9312169312169312,-0.04761904761904756,0.29453262786596124,0.31040564373897706,1.0,1.0,C16,0.56,0.467333355799117,True,True,仅作为未来独立样本的前瞻候选B映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,Qwen3.7-Max,B,6,自我评价低或让家人失望,7,C07,min_item_mae,0,,0.6455026455026455,0.6825396825396826,-0.03703703703703709,0.21516754850088182,0.2275132275132275,1.0,1.0,C07,0.94,0.12751422306591523,True,True,仅作为未来独立样本的前瞻候选B映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,Qwen3.7-Max,B,7,注意力困难,4,C04,min_item_mae,0,,0.656084656084656,0.671957671957672,-0.015873015873015928,0.21869488536155202,0.2239858906525573,1.0,1.0,C04,0.76,0.3601111765047768,True,True,仅作为未来独立样本的前瞻候选B映射；当前只支持总分MAE改善
PHQ-8,PHQ8_complete,Qwen3.7-Max,B,8,动作或语速改变,4,C04,min_item_mae,0,,0.328042328042328,0.3333333333333333,-0.005291005291005291,0.10934744268077601,0.1111111111111111,1.0,1.0,C04,0.68,0.3014604859081646,True,True,仅作为未来独立样本的前瞻候选B映射；当前只支持总分MAE改善
HAMD-17,HAMD16_core,GLM-5.2,B,1,抑郁情绪,7,C07,min_item_mae,0,,0.7070707070707071,0.7878787878787878,-0.08080808080808077,0.17676767676767677,0.19696969696969696,1.0,1.0,C07,0.36,0.6728181786073747,True,False,不建议替换C03；仅保留B探索性全样本映射
HAMD-17,HAMD16_core,GLM-5.2,B,2,有罪感,8,C08,min_item_mae,0,,0.4444444444444444,0.5656565656565656,-0.12121212121212122,0.1111111111111111,0.1414141414141414,1.0,1.0,C08,0.96,0.0807640630274716,True,False,不建议替换C03；仅保留B探索性全样本映射
HAMD-17,HAMD16_core,GLM-5.2,B,3,自杀,16,C16,min_item_mae_tie_auxiliary_metrics,0,,0.494949494949495,0.5252525252525253,-0.03030303030303033,0.12373737373737374,0.13131313131313133,1.0,1.0,C16,0.58,0.4557127151121798,True,False,不建议替换C03；仅保留B探索性全样本映射
HAMD-17,HAMD16_core,GLM-5.2,B,4,入睡困难,11,C11,min_item_mae,0,,0.35353535353535354,0.41414141414141414,-0.06060606060606061,0.17676767676767677,0.20707070707070707,1.0,1.0,C11,1.0,0.0,True,False,不建议替换C03；仅保留B探索性全样本映射
HAMD-17,HAMD16_core,GLM-5.2,B,5,睡眠不深,3,C03,min_item_mae,0,,0.46464646464646464,0.46464646464646464,0.0,0.23232323232323232,0.23232323232323232,1.0,1.0,C03,0.74,0.3527580663165619,True,False,不建议替换C03；仅保留B探索性全样本映射
